School/Institute,Location,Start date,End date,Application deadline,Topic(s) / Notes,Link,Date added to this list
Ohio State University,"Columbus, OH",~ Jun 5,~ Aug 11,Feb 1,"Research Opportunities in Mathematics for Undergraduate Students (ROMUS). Topics include analysis of PDEs/mathematical finance, ergodic theory and dynamical systems, computational mathematics, algebra and logic, and quantum algebra, category theory, and operator algebras",https://www.mathprograms.org/db/programs/1384,2022/12/7
Rosetta Commons REU,Varies,Jun 5,Aug 11,Feb 1,"Interns in this geographically-distributed REU program have the opportunity to participate in research using the Rosetta Commons software. The Rosetta Commons software suite includes algorithms for computational modeling and analysis of protein structures. It has enabled notable scientific advances in computational biology, including de novo protein design, enzyme design, ligand docking, and structure prediction of biological macromolecules and macromolecular complexes. ",https://www.rosettacommons.org/about/intern,2022/10/31
SMALL REU (Williams College),"Williamstown, MA",Jun 12,Aug 11,Feb 1,Commutative algebra: interactions with logic; Chip-firing games on graphs; Statistical approaces to pattern matching in forensic evidence; Commutative algebra: local rings and completion; Number theory and probability,"http://math.williams.edu/small/
https://www.mathprograms.org/db/programs/1360
https://www.mathprograms.org/db/programs/1357
https://www.mathprograms.org/db/programs/1356
https://www.mathprograms.org/db/programs/1355
https://www.mathprograms.org/db/programs/1354",2022/10/31
University of Houston,"Houston, TX",Jun 1,Jul 15,Feb 1,Formation of target patterns in oscillatory media using tools from partial differential equations.,https://www.math.uh.edu/~gabriela/REU.html,2022/12/2
Harvard Medical School,"Boston, MA",Jun 12,Aug 11,Feb 3,Quantitative biology,https://www.sysbiointernship.hms.harvard.edu/,2022/12/13
IUPUI,"Indianapolis, IN",Jun 5,Jul 28,Feb 3,Mathematical modeling of retinal oxygenation; Using boundary integrals to model biological cells; Mathematical models of brain circuitry responsible for decision making; Modeling and simulation of fluid flow over a lacuno-canalicular network in three dimensions,https://science.iupui.edu/math/research/student-opportunities/reu-program.html,2022/12/22
Michigan State University (ICER-ACRES),"East Lansing, MI",May 22,Jul 28,Feb 3,Advanced Computational Research Experience (biology focus),https://icer-acres.msu.edu/,2022/12/13
SciLifeLab (Sweden),"San Diego, CA
Stockholm, Sweden",Jun 5,Aug 18,Feb 3,US-Sweden Clinical Bioinformatics Research Training Program (IRES),"https://sites.google.com/sandiego.edu/nsf-ires-us-sweden/home
https://www.nsfetap.org/award/41/opportunity/50",2022/12/22
University of Michigan,"Ann Arbor, MI",> May 1,< Aug 31,Feb 3,Dates and times vary by mentor pairing,https://lsa.umich.edu/math/undergraduates/research-and-career-opportunities/research/research-experience-for-undergraduates--reu-.html,2022/10/31
University of Southern California,"Los Angeles, CA",Jun 20,Jul 28,Feb 3,Los Angeles Biostatistics and Data Science Summer Training Program at USC,https://lasbest.usc.edu/,2023/2/4
Yale University (SUMRY),"New Haven, CT",May 31,Jul 27,Feb 3,"Five different research groups
Program lasts 9 weeks","https://sumry.yale.edu/
https://www.mathprograms.org/db/programs/1388",2022/12/14
University of Minnesota - Twin Cities,Montana + Minnesota,Jun 11,Aug 19,Feb 6,Sustainable Land and Water Resources - A Community Based Participatory Research Experience for Undergraduates,"https://reuslawr.org/
https://www.nsfetap.org/award/50/opportunity/529",2022/12/22
University of Rhode Island,"Narragansett, RI",Jun 5,Aug 10,Feb 6,Summer Undergraduate Research Fellowships in Oceanography,"https://web.uri.edu/gso/academics/surfo/
https://www.nsfetap.org/award/616/opportunity/629",2022/12/22
Tufts University,"Medford, MA",Jun 5,Aug 11,Feb 7,DIAMONDS: Directed and Mentored Opportunities in Data Science,https://sites.tufts.edu/diamondsreu/summer-2023-program-details/,2022/12/22
Ithaca College,"Ithaca, NY",May 31,Jul 28,Feb 10,Evolutionary dynamics of dispersal; Billiard dynamics on surfaces of revolution; Pruned fractal trees,https://www.ithaca.edu/academics/school-humanities-and-sciences/mathematics/nsf-reu-dynamical-systems-ic,2022/10/31
Leiden Unibersity,Netherlands,Jun 20,Aug 4,Feb 10,"Research topics will be related to nonlinear waves and pattern formation, using the theory of dynamical systems and partial differential equations. Applications include ecosystem models and other topics in mathematical biology/ecology.
Must be US citizen or permanent resident","http://www.math.uci.edu/~pacarter/reu.html
https://www.mathprograms.org/db/programs/1386",2022/12/13
Northwestern University,"Evanston, IL",Jun 20,Aug 11,Feb 10,Dynamics and representation theory; Symmetry in dynamics; Dynamics on the infinite symmetric group; Constructing Anosov actions on nilmanifolds,https://sites.northwestern.edu/dynamicsrtg/reu-summer-2023/,2022/11/6
Occidental College,"Los Angeles, CA",May 30,Aug 1,Feb 10,Coding theory and number theory,"http://jim-brown.oxycreates.org/REU/Oxy_REU.html
https://www.mathprograms.org/db/programs/1383",2022/12/7
University of Chicago,"Chicago, IL",Jun 12,Aug 4,Feb 10,,"http://math.uchicago.edu/~may/REU2023/
https://www.mathprograms.org/db/programs/1393",2022/12/7
University of Maryland (TREND),"College Park, MD",May 30,Aug 4,Feb 10,"Projects are computational, experimental, theoretical, or a combination of these. Topics include 2D materials; biophysics; chaos; lasers; mathematical biology; nanodevices; neural networks; optoelectronics; particle physics/particle rings; plasma reconnection; robotics; turbulence",https://ireap.umd.edu/trend,2022/10/31
University of Texas at Tyler,"Tyler, TX",May 23,Jul 25,Feb 11,Pattern avoidance; inverse semigroups; continued fractions,"https://www.uttyler.edu/math/research-experience-for-undergraduates/
https://www.nsfetap.org/award/133/opportunity/564",2022/12/1
Rochester Insitute of Technology (RIT),"Rochester, NY",Jun 5,Aug 4,Feb 12,"STEM education: Spatial Visualization in STEM; Biology Card Sorting Tasks; Molecular Process vs. Outcome; Using drawings to explore student thinking in Biology; Computational Literacy across STEM disciplines; Quantum Information Science Education; Supporting students' cognitive abilities and agency within theoretical physics instruction; Noticing, Empathy and Equity in STEM Environments; Novel statistical analyses of student success; ...",https://www.rit.edu/castle/research/reu,2023/1/1
Brigham Young University,"Provo, UT",Jun 12,Aug 18,Feb 13,Physics & astronomy; some projects involve mathematical modeling/computation,https://reu.byu.edu/home,2022/10/31
North Carolina A&T State University and Elon University,"Greensboro, NC",May 30,Jul 21,Feb 13,Mathematical biology,http://www.ncat-elon-jointreu.info/,2022/12/13
RIPS (Research in Industrial Projects for Students) IPAM,"Los Angeles, CA",Jun 20,Aug 18,Feb 13,"Work on industry sponsored research problems
Can take international students and graduating seniors.","https://www.ipam.ucla.edu/programs/student-research-programs/research-in-industrial-projects-for-students-rips-2023/
https://www.mathprograms.org/db/programs/1373",2022/10/31
RIPS-Singapore (Research in Industrial Projects for Students) IPAM,Singapore,May 22,Jul 21,Feb 13,"Work on industry sponsored research problems in Singapore
Can take graduating seniors.","https://www.ipam.ucla.edu/programs/student-research-programs/research-in-industrial-projects-for-students-rips-2023-singapore/
https://www.mathprograms.org/db/programs/1373",2022/10/31
University of Pittsburgh,"Pittsburgh, PA",May 22,Jul 28,Feb 13,Computational biology,https://www.tecbioreu.pitt.edu/,2022/10/31
University of Washington,"Seattle, WA",Jun 12,Aug 18,Feb 13,data science for social good,https://escience.washington.edu/using-data-science/data-science-for-social-good/student-fellows/,2022/12/1
"David Harold Blackwell Summer Research Institute
UCLA; UC Berkeley; Stanford",California,Jun 15,Jul 28,Feb 14,"Applied Probability, Analysis, or Theoretical Computer Science",https://ww3.math.ucla.edu/david-harold-blackwell-summer-research-institute/,2022/12/1
ICERM (Brown University),"Providence, RI",Jun 12,Aug 4,Feb 14,"Mathematical Modeling of DNA Self-Assembly. Optimize design structures for families of graphs such as graphs with a lattice substructure and k-regular graphs. Create, expand, and improve current software used to nd and check optimal solutions. Determine relationships between optimizing bond-edge and tile types.
Have funding for 2-3 non-US citizens or permanent residents",https://icerm.brown.edu/summerug/2023/,2022/10/31
UC Davis (Physics & Astronomy),"Davis, CA",Jun 18,Aug 25,Feb 14,Complex Systems and Computational Physics; ...,https://london.physics.ucdavis.edu/~reu/reu.html,2022/12/1
"University of Minnesota, Duluth","Duluth, MN",May 31,Aug 4,Feb 15,"combinatorics, combinatorial number theory, graph theory
International students are eligible","https://www.d.umn.edu/~jgallian/REU.html
https://www.mathprograms.org/db/programs/1431",2023/1/7
MIT,(virtual),Jul 10,Aug 18,Feb 15,"Summer Geometry Initiative (geometry processing)
Can work with (most) international students","https://sgi.mit.edu/
https://www.mathprograms.org/db/programs/1430",2023/1/9
Clemson University,"Clemson, SC",Jun 5,Jul 28,Feb 15,"tools, techniques and problems from Number Theory
Pending funding might do cryptography","https://www.math.clemson.edu/ccnt/undergraduate/reu/
https://www.mathprograms.org/db/programs/1404",2023/1/3
Arizona State University,"Tempe, AZ",May 30,Jul 22,Feb 15,Quantitative Research in the Life and Social Sciences Program (QRLSSP),https://qrlssp.asu.edu/summerprogram,2022/12/22
Baruch College (CUNY),"New York, NY",Jun 12,Aug 4,Feb 15,"Combinatorics; discrete probability; theoretical computer science
Can take 2-3 international students","https://geometrynyc.wixsite.com/home/combinatorics-reu
https://www.mathprograms.org/db/programs/1371",2022/10/31
"Bigelow, Laboratory for Ocean Sciences","East Boothbay, ME",May 21,Jul 28,Feb 15,"Research areas vary year to year, but include marine microbiology, ocean biogeochemistry, optical oceanography, remote sensing, bioinformatics, sensory biology and phytoplankton ecology.",https://www.bigelow.org/education/reu/,2022/11/13
Boston University,"Boston, MA",Jun 12,Jul 28,Feb 15,"Pattern formation, differential equations, applied dynamical systems",http://math.bu.edu/people/rgoh/research/REU.html,2022/12/30
Carnegie Mellon University,"Pittsburgh, PA",May 30,Jul 7,Feb 15,Geometry and Topology in a Discrete Setting,"https://www.mathprograms.org/db/programs/1394
https://www.math.cmu.edu/~ffrick/REU.html",2022/12/22
Carnegie Mellon University (SUAMI),"Pittsburgh, PA",May 30,Jul 22,Feb 15,"Summer Undergraduate Applied Mathematics Institute (SUAMI). SUAMI will feature projects in number theory, partial differential equations, and discrete mathematics","https://www.cmu.edu/math/undergrad/suami/index.html
https://www.mathprograms.org/db/programs/1396",2022/12/22
Columbia University,"New York, NY",May 30,Jul 14,Feb 15,Summer Training Institute in Biostatistics and Data Science at Columbia,https://www.publichealth.columbia.edu/research/summer-institute-training-biostatistics-and-data-science-columbia/about,2023/2/4
EDGE (Brown University),"Providence, RI",Jun 4,Jul 1,Feb 15,Program aimed at women or nonbinary mathematicians who are transitioning into PhD graduate programs,https://www.edgeforwomen.org/summer-session/,2022/10/31
"Einstein Institute of Mathematics, Hebrew University","Jerusalem, Israel",May 28,Aug 6,Feb 15,"Topology and Geometry, Combinatorics, Number Theory, Algebra, Probability, Set Theory, and Model Theory",https://mathematics.huji.ac.il/research-experience-undergraduates-reu-einstein-institute,2022/12/13
electronic Computational Homotopy Theory (eCHT) research community,online,Jun 12,Jul 21,Feb 15,"The goal of this entirely online REU is not to completely reproduce the experience of an on-site REU. Rather, we aim to provide much of the benefit of participating in an REU for students who are unable (perhaps for personal reasons) to participate in an on-site program.  Funded participants must be citizens, nationals, or permanent residents of the U.S.","http://s.wayne.edu/echt/reu-2023/
https://www.mathprograms.org/db/programs/1382",2022/12/1
Iowa State University,"Ames, IA",Jun 5,Jul 28,Feb 15,"Quantum information theory; Spectral graph theory; Mixing times of Markov chains; Computational mathematics
Can take international students","https://www.mathreu.org/
https://www.mathprograms.org/db/programs/1405",2022/9/9
IST Austria,Austria,varies,varies,Feb 15,summer internship program for bachelor’s and master’s students who are looking to expand their scientific research experience,https://phd.pages.ist.ac.at/isternship/,2022/10/31
Maryland Sea Grant,"College Park, MD",May 22,Aug 13,Feb 15,Marine research on the Chesapeake Bay. (Modeling and Analysis),https://www.mdsg.umd.edu/reu,2022/12/1
MSRI-UP,"Berkeley, CA
SLMath",Jun 10,Jul 23,Feb 15,"Topological data analysis
DACA students are eligible; closed to international students",https://www.msri.org/web/msri/education/for-undergraduates/msri-up,2022/10/31
North Carolina State University (DRUMS),"Raliegh, NC",May 30,Aug 4,Feb 15,"Proposed projects span collaborative applications in atmospheric science, materials science, cardiovascular disease, precision medicine, climate change and wildland fires using tools from linear algebra, partial differential equations, probability, sensitivity analysis, parameter inference, optimization, and machine learning.","https://drums.wordpress.ncsu.edu/
https://www.mathprograms.org/db/programs/1361",2022/10/31
Oregon State University,"Corvallis, OR",Jun 19,Aug 18,Feb 15,"geology, oceanography, and atmospheric and climate science",https://ceoas.oregonstate.edu/summer-research-internships-undergraduates,2022/12/1
PRiME (Pomona Research in Mathematics Experience),"Pomona, CA",Jun 11,Aug 5,Feb 15,Good elliptic curves; Algebraic geometry of phylogenetic networks; Monodromy groups of Belyi Lattes maps; Abelian extensions arising from torsion points of elliptic curves; TBA??,https://pages.pomona.edu/~ehga2017/prime.html,2022/12/22
University of Minnesota - Twin Cities,"Minneapolis, MN",Jun 12,Aug 4,Feb 15,"Algebra, combinatorics, representation theory","https://www-users.cse.umn.edu/~reiner/REU/REU.html
https://www.mathprograms.org/db/programs/1374",2022/10/31
"University of Tennessee, Knoxville","Knoxville, TN",Jun 5,Jul 28,Feb 15,"A Research Experience for Undergraduates in Bioinformatics, Genetics, and Genomic (BiGG) Sciences
Particpants should self-identify as women",https://reeu.tennessee.edu/,2022/12/22
University of Virginia,"Charlotttesville, VA",???,???,Feb 15,Number theory; representation theory; topology,https://uva.theopenscholar.com/reu/program,2022/10/31
IAS program for Women and Mathematics,"Princeton, NJ",May 21,May 26,Feb 16,Patterns in Integers: dynamical and number theoretic approaches. Program aimed at women at all levels (including undergraduates),"https://www.ias.edu/math/wam/program-years/2023-program-women-and-mathematics
https://www.mathprograms.org/db/programs/1343",2022/10/31
